Player;Team;Wins;Losses;KDA;Kill;Death;Assists;LH;DN;GPM;XPM;Position;Inv_Status;Region;Shanghai_Result
&Serenading;Fantastic.Five';4;4;2.16;1.63;6.38;12.13;34;3.88;241;247;5;0;EU;0
FD.KaL;First Departure;8;5;3.96;2.92;3.69;11.69;128.85;3.46;345;371;1;1;SEA;0
zzz;First Departure;8;5;3.94;7;4.08;9.08;216.31;19.15;494;468;2;1;SEA;0
FD.Meracle;First Departure;8;5;3.52;8.38;4.69;8.15;265.23;12.31;533;499;3;1;SEA;0
FD.Lubby;First Departure;8;5;2.56;1.92;4.77;10.31;27.69;1.08;238;251;4;1;SEA;0
0o;First Departure;8;5;2.18;2.62;5.92;10.31;52.54;1.69;274;266;5;1;SEA;0
Mski-X.Kecik Imba;Mineski-X;5;4;5.68;8.44;3.11;9.22;308.44;20.56;586;595;1;0;SEA;0
Y.;Mineski-X;5;4;4.77;7.22;3.44;9.22;173.89;11.11;445;455;2;0;SEA;0
Mski-X.Xtinct;Mineski-X;5;4;4.12;3.67;2.78;7.78;78.56;2.11;294;279;3;0;SEA;0
Mski-X.WinteR;Mineski-X;5;4;3.34;2;3.22;8.78;108.78;3.89;325;362;4;0;SEA;0
nb;Mineski-X;5;4;2.66;2.89;4.89;10.11;43.78;2.33;266;262;5;0;SEA;0
Wings.shadow;the wings gaming;5;4;5.13;4.67;2.67;9;358.44;15.44;601;515;1;1;CN;0
Wings.????;the wings gaming;5;4;4.25;6.33;3.56;8.78;212.33;9.56;484;486;2;1;CN;0
Wings.y`;the wings gaming;5;4;3.78;4;4;11.11;53.33;0.33;285;291;3;1;CN;0
Wings.Faith_bian;the wings gaming;5;4;2.96;5.11;5.33;10.67;99.11;9.56;354;368;4;1;CN;0
Wings.iceice;the wings gaming;5;4;2.9;2.67;4.44;10.22;88.44;3.67;301;292;5;1;CN;0
Mason;Shazam~;6;6;3.9;4.17;2.42;5.25;255.17;12.92;502;480;1;1;AM;0
