Player,Team,Wins,Losses,KDA,Kill,Death,Assists,LH,DN,GPM,XPM,Shanghai_Result
meow,HellRaisers`,0.0,6.0,2.74,6.33,5.67,9.17,220.67,11.0,424.0,423.0,0.0
who knows,HellRaisers`,0.0,6.0,1.98,2.67,7.17,11.5,36.0,2.67,239.0,255.0,0.0
Oloy,HellRaisers`,0.0,6.0,2.81,4.33,6.0,12.5,161.33,10.17,364.0,377.0,0.0
Shachlo,HellRaisers`,0.0,6.0,2.08,5.17,6.5,8.33,239.83,9.83,434.0,372.0,0.0
Kim0,Execration,0.0,8.0,1.01,2.5,9.25,6.88,63.38,1.13,257.0,257.0,0.0
Aladdin,Execration,0.0,8.0,1.42,4.13,6.88,5.63,165.38,8.5,378.0,401.0,0.0
...,Execration,0.0,8.0,1.0,3.0,8.63,5.63,206.38,10.13,416.0,419.0,0.0
jerbax,Execration,0.0,8.0,1.1,3.0,7.38,5.13,47.38,2.0,264.0,254.0,0.0
POSITIVE MENSTRUAL ATTIDUDE,Execration,0.0,8.0,0.97,2.75,8.0,5.0,81.25,1.75,289.0,282.0,0.0
Ptt,Extremist Dota 2,0.0,6.0,1.63,3.83,6.83,7.33,214.67,11.5,447.0,420.0,0.0
H.God,Extremist Dota 2,0.0,6.0,1.38,2.67,6.5,6.33,92.17,7.33,299.0,337.0,0.0
What is dead may never die,Extremist Dota 2,0.0,6.0,1.23,0.83,6.67,7.33,20.83,1.17,192.0,207.0,0.0
Ciky,Extremist Dota 2,0.0,6.0,1.94,6.17,5.67,4.83,179.33,12.33,451.0,511.0,0.0
Dog,Extremist Dota 2,0.0,6.0,2.0,2.0,5.0,8.0,21.5,0.33,221.0,255.0,0.0
,Virtus.Pro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
