Player,Team,Wins,Losses,KDA,Kill,Death,Assists,LH,DN,GPM,XPM,Shanghai_Result
CDEC.Y.Victoria,CDEC.Avengers,7.0,6.0,1.89,2.23,5.0,7.23,37.85,1.46,226.0,247.0,0.0
RoX.KIS.Sedoy,Fantastic.Five',4.0,4.0,7.95,10.63,2.5,9.25,328.13,11.5,618.0,593.0,0.0
633,Fantastic.Five',4.0,4.0,5.26,6.13,3.38,11.63,204.75,11.63,440.0,445.0,0.0
Ghostik,Fantastic.Five',4.0,4.0,4.0,5.38,4.25,11.63,127.75,3.25,364.0,388.0,0.0
TRN.ROX.yol,Fantastic.Five',4.0,4.0,3.0,2.88,5.13,12.5,63.38,1.5,292.0,302.0,0.0
&Serenading,Fantastic.Five',4.0,4.0,2.16,1.63,6.38,12.13,34.0,3.88,241.0,247.0,0.0
FD.KaL,First Departure,8.0,5.0,3.96,2.92,3.69,11.69,128.85,3.46,345.0,371.0,0.0
zzz,First Departure,8.0,5.0,3.94,7.0,4.08,9.08,216.31,19.15,494.0,468.0,0.0
FD.Meracle,First Departure,8.0,5.0,3.52,8.38,4.69,8.15,265.23,12.31,533.0,499.0,0.0
FD.Lubby,First Departure,8.0,5.0,2.56,1.92,4.77,10.31,27.69,1.08,238.0,251.0,0.0
0o,First Departure,8.0,5.0,2.18,2.62,5.92,10.31,52.54,1.69,274.0,266.0,0.0
Mski-X.Kecik Imba,Mineski-X,5.0,4.0,5.68,8.44,3.11,9.22,308.44,20.56,586.0,595.0,0.0
Y.,Mineski-X,5.0,4.0,4.77,7.22,3.44,9.22,173.89,11.11,445.0,455.0,0.0
Mski-X.Xtinct,Mineski-X,5.0,4.0,4.12,3.67,2.78,7.78,78.56,2.11,294.0,279.0,0.0
Mski-X.WinteR,Mineski-X,5.0,4.0,3.34,2.0,3.22,8.78,108.78,3.89,325.0,362.0,0.0
nb,Mineski-X,5.0,4.0,2.66,2.89,4.89,10.11,43.78,2.33,266.0,262.0,0.0
Wings.shadow,the wings gaming,5.0,4.0,5.13,4.67,2.67,9.0,358.44,15.44,601.0,515.0,0.0
Wings.跳刀跳刀,the wings gaming,5.0,4.0,4.25,6.33,3.56,8.78,212.33,9.56,484.0,486.0,0.0
Wings.y`,the wings gaming,5.0,4.0,3.78,4.0,4.0,11.11,53.33,0.33,285.0,291.0,0.0
Wings.Faith_bian,the wings gaming,5.0,4.0,2.96,5.11,5.33,10.67,99.11,9.56,354.0,368.0,0.0
Wings.iceice,the wings gaming,5.0,4.0,2.9,2.67,4.44,10.22,88.44,3.67,301.0,292.0,0.0
Mason,Shazam~,6.0,6.0,3.9,4.17,2.42,5.25,255.17,12.92,502.0,480.0,0.0
BRAX,Shazam~,6.0,6.0,2.92,2.33,3.0,6.42,136.58,4.17,357.0,343.0,0.0
MSS,Shazam~,6.0,6.0,2.49,2.58,3.25,5.5,66.67,1.58,259.0,228.0,0.0
Shazam.SVG,Shazam~,6.0,6.0,2.3,1.42,3.67,7.0,33.67,1.42,230.0,232.0,0.0
ritsu,Shazam~,6.0,6.0,2.09,3.0,3.92,5.17,194.17,13.0,440.0,465.0,0.0
VB.PatSoul,Void Boys,3.0,5.0,6.44,2.25,1.13,5.0,152.75,15.0,424.0,421.0,0.0
Can't Trust No Fukin Body,Void Boys,3.0,5.0,2.46,3.5,3.0,3.88,189.75,11.0,474.0,467.0,0.0
xuan,Void Boys,3.0,5.0,1.87,1.25,2.88,4.13,123.25,4.75,341.0,334.0,0.0
VB.OmegaPwner,Void Boys,3.0,5.0,1.38,1.63,5.63,6.13,43.88,4.13,245.0,237.0,0.0
VB.fly,Void Boys,3.0,5.0,1.25,1.75,5.0,4.5,31.75,1.75,216.0,204.0,0.0
SiG.LaKelz,Signature.Dota2,4.0,4.0,4.76,9.13,4.13,10.5,232.63,21.75,528.0,510.0,0.0
MyPro,Signature.Dota2,4.0,4.0,3.58,7.38,4.5,8.75,207.13,12.0,517.0,524.0,0.0
SiG.aabBAA,Signature.Dota2,4.0,4.0,2.93,3.88,5.75,13.0,121.5,11.0,353.0,372.0,0.0
SiG.FeiMao,Signature.Dota2,4.0,4.0,2.91,4.75,5.38,10.88,32.13,2.38,264.0,272.0,0.0
Jabz,Signature.Dota2,4.0,4.0,2.85,3.63,5.88,13.13,73.63,0.88,311.0,354.0,0.0
Mski.JessieVash,Mineski.Sports5,4.0,4.0,4.4,2.13,3.13,11.63,32.38,1.5,286.0,280.0,0.0
Mski.ryOyr,Mineski.Sports5,4.0,4.0,3.24,3.63,4.13,9.75,183.75,15.13,448.0,476.0,0.0
TNC.Kuku,Mineski.Sports5,4.0,4.0,2.93,9.13,5.75,7.75,269.38,7.38,599.0,546.0,0.0
Mski.raging-_-potato,Mineski.Sports5,4.0,4.0,2.91,7.75,5.38,7.88,244.63,8.88,543.0,553.0,0.0
Mski.Julz*,Mineski.Sports5,4.0,4.0,1.75,1.63,6.38,9.5,60.38,3.0,282.0,293.0,0.0
PoF.wayto,power of friendship !!,4.0,4.0,4.11,3.5,2.25,5.75,143.25,4.38,381.0,348.0,0.0
糊你一脸香蕉,power of friendship !!,4.0,4.0,3.7,2.38,2.5,6.88,124.0,3.38,347.0,359.0,0.0
PoF.Sneyking,power of friendship !!,4.0,4.0,3.38,4.25,3.0,5.88,334.0,16.75,578.0,502.0,0.0
USH!,power of friendship !!,4.0,4.0,2.9,3.63,3.75,7.25,181.88,4.13,405.0,387.0,0.0
炒饭,power of friendship !!,4.0,4.0,2.6,1.13,3.13,7.0,25.5,1.38,224.0,210.0,0.0
CDEC.Y.Ame,CDEC.Youth,4.0,4.0,3.25,6.38,4.0,6.63,328.38,12.38,606.0,613.0,0.0
CDEC.Y.Inflame,CDEC.Youth,4.0,4.0,2.33,5.63,5.75,7.75,233.5,12.25,461.0,458.0,0.0
CDEC.A.JUNE,CDEC.Youth,4.0,4.0,2.29,3.13,6.13,10.88,176.63,3.38,396.0,394.0,0.0
CDEC.Y.Darkrai,CDEC.Youth,4.0,4.0,2.23,4.0,5.38,8.0,55.5,0.88,284.0,300.0,0.0
.....,CDEC.Youth,4.0,4.0,2.1,2.0,4.88,8.25,53.0,1.25,263.0,287.0,0.0
iG.Ferrari_430,Invictus Gaming,3.0,5.0,3.83,6.5,3.75,7.88,236.0,10.5,443.0,439.0,0.0
CDEC.Rabbit,Invictus Gaming,3.0,5.0,2.85,5.75,4.88,8.13,296.13,20.38,493.0,452.0,0.0
CDEC.A.Xi,Invictus Gaming,3.0,5.0,2.8,3.25,5.0,10.75,213.63,5.0,390.0,374.0,0.0
iG.xdd,Invictus Gaming,3.0,5.0,2.23,3.88,5.88,9.25,41.5,1.13,248.0,268.0,0.0
iG.V.super,Invictus Gaming,3.0,5.0,1.91,1.63,5.38,8.63,81.75,1.13,253.0,255.0,0.0
VG.CTY,EHOME,3.0,6.0,3.59,5.11,3.56,7.67,284.11,15.44,533.0,536.0,9.0
EHOME.LaNm,EHOME,3.0,6.0,3.29,2.89,3.78,9.56,79.0,1.89,278.0,293.0,9.0
EHOME.old chicken,EHOME,3.0,6.0,2.7,5.44,4.44,6.56,181.33,9.56,420.0,424.0,9.0
Newbee.kaka,EHOME,3.0,6.0,2.64,2.89,5.0,10.33,56.22,1.33,267.0,294.0,9.0
EHOME.old eleven,EHOME,3.0,6.0,1.79,3.67,5.89,6.89,186.22,6.44,417.0,441.0,9.0
