Player;Team;Wins;Losses;KDA;Kills;Death;Assists;LH;DN;GPM;XPM;Position;Inv_Status;Region;Tournament_Result;Changed Teams;Total_Games;New_Team
fr;Friendship, Dedicatio...;5;7;2,21;1,42;4,75;9,08;36,33;1;241;251;1;1;AM;0;1;12;None
Beesa;Friendship, Dedicatio...;5;7;3,6;4,17;2,92;6,33;241,67;13;515;478;2;1;AM;0;0;12;Friendship, Dedicatio...
CCnC;Friendship, Dedicatio...;5;7;2,24;4,92;4,83;5,92;210,33;7,08;498;517;3;1;AM;0;1;12;None
??????;Friendship, Dedicatio...;5;7;3;2,75;3,5;7,75;159,25;1,5;401;418;4;1;AM;0;0;12;Friendship, Dedicatio...
STAN KING;Friendship, Dedicatio...;5;7;2,2;2,83;4,67;7,42;43,92;1,25;247;242;5;1;AM;0;0;12;Friendship, Dedicatio...
iG.Ferrari_430;Invictus Gaming;6;7;5,92;6,23;2,85;10,62;392,92;11;606;517;1;1;CN;0;1;13;None
iG.qd;Invictus Gaming;6;7;4,71;6,23;3,15;8,62;412,77;17,08;595;576;2;1;CN;0;1;13;EHOME.X
iG.Xxs;Invictus Gaming;6;7;3,96;3,54;3,85;11,69;180,46;2,69;390;404;3;1;CN;0;0;13;Invictus Gaming
iG.Boboka;Invictus Gaming;6;7;2;3,92;7,15;10,38;72,54;2,23;278;306;4;1;CN;0;0;13;Invictus Gaming
iG.Rong;Invictus Gaming;6;7;2,39;1,85;5,46;11,23;43,15;2,54;231;254;5;1;CN;0;1;13;Newbee.Young
Paparazi?;iG.Vitality;5;5;3,87;6;3,1;6;286,1;13;576;548;1;1;CN;0;0;10;iG.Vitality
???;iG.Vitality;5;5;3,06;4,3;3,5;6,4;197,2;9,2;470;453;2;1;CN;0;0;10;iG.Vitality
iG.V.InJuly;iG.Vitality;5;5;2,57;2,9;5,1;10,2;135,1;1;362;361;3;1;CN;0;0;10;iG.Vitality
@dogf1ghts;iG.Vitality;5;5;2,66;2,8;5;10,5;31,2;1,5;258;265;4;1;CN;0;0;10;iG.Vitality
iG.V.super;iG.Vitality;5;5;2,6;1,8;4,2;9,1;40,8;1,6;239;252;5;1;CN;0;0;10;iG.Vitality
LGD.Maybe;LGD-GAMING;6;11;3,62;6,71;3,88;7,35;375,18;7,71;583;506;1;2;CN;10;0;17;LGD-GAMING
LGD.Agressif;LGD-GAMING;6;11;3,93;5,18;3,59;8,94;354,82;13,41;528;481;2;2;CN;10;1;17;CDEC Gaming
LGD.xiao8;LGD-GAMING;6;11;2,78;3,06;4,76;10,18;181,94;1,76;352;365;3;2;CN;10;1;17;LGD.Forever Young
LGD.MMY!;LGD-GAMING;6;11;2,83;2,24;4,24;9,76;61,41;2,18;239;233;4;2;CN;10;1;17;None
LGD.Banana;LGD-GAMING;6;11;2,75;1,41;4,41;10,71;41,06;0,76;218;238;5;2;CN;10;1;17;None
