Player;Team;Wins;Losses;KDA;Kills;Death;Assists;LH;DN;GPM;XPM;Position;Inv_Status;Region;Tournament_Result;Changed Teams;Total_Games;New_Team
Secret.pieliedie;Team Secret;13;13;2,79;2,5;5;11,46;70,92;1,81;264;248;5;0;EU;14;0;26;Team Secret
Mski.nb;Team-Rave;3;6;3,92;6,89;4,22;9,67;347,11;14,33;567;481;1;1;SEA;0;1;9;Mineski.GGNetwork
Rave.Jeyo;Team-Rave;3;6;3,14;5,78;4,89;9,56;226,89;11,22;469;469;2;1;SEA;0;1;9;None
XctN.Rapy;Team-Rave;3;6;2,19;2,56;6,33;11,33;125;2,33;324;325;3;1;SEA;0;1;9;None
Mski.ryOyr;Team-Rave;3;6;2,23;3,56;6,33;10,56;58,67;3,56;275;285;4;1;SEA;0;1;9;None
Micko;Team-Rave;3;6;1,76;1,67;6,56;9,89;39,22;1,78;230;233;5;1;SEA;0;1;9;None
SANKE;The Mongolz;3;6;2,6;5,56;4,67;6,56;218,33;16,44;496;463;1;1;SEA;0;0;9;The Mongolz
Retribution;The Mongolz;3;6;3,55;5,22;3,67;7,78;188,67;12,67;468;462;2;1;SEA;0;0;9;The Mongolz
Masquerade !;The Mongolz;3;6;1,96;2,89;5,33;7,56;125,78;3;374;367;3;1;SEA;0;0;9;The Mongolz
py;The Mongolz;3;6;1,64;1,44;6,56;9,33;39,22;0,89;244;251;4;1;SEA;0;0;9;The Mongolz
Ariuka.Crl;The Mongolz;3;6;1,84;2,11;5,56;8,11;26,22;3,33;235;240;5;1;SEA;0;0;9;The Mongolz
Wings.bLink;the wings gaming;25;10;5,87;7,09;2,8;9,34;252,63;11,31;607;577;1;1;CN;1;0;35;the wings gaming
Wings.shadow;the wings gaming;25;10;6,25;6,54;2,51;9,17;233,77;20,77;549;512;2;1;CN;1;0;35;the wings gaming
Wings.Faith_bian;the wings gaming;25;10;4,06;4,06;4,11;12,63;120,83;8,09;394;409;3;1;CN;1;0;35;the wings gaming
Wings.iceice;the wings gaming;25;10;3,37;3,2;4,71;12,69;73,46;2,63;321;315;4;1;CN;1;0;35;the wings gaming
Wings.Innocence;the wings gaming;25;10;3,33;2,86;4,37;11,69;37,26;1,4;278;274;5;1;CN;1;0;35;the wings gaming
Fnatic.Raven;TNC Pro Team;19;11;5,66;9,2;3,33;9,67;348,73;9,4;637;523;1;0;SEA;7;1;30;Fnatic
TNC.Kuku;TNC Pro Team;19;11;3,24;7,63;5,63;10,63;344,03;7,93;591;506;2;0;SEA;7;0;30;TNC Pro Team
TNC.Sam H;TNC Pro Team;19;11;3,05;3,27;5,43;13,3;137,87;2,43;348;383;3;0;SEA;7;0;30;TNC Pro Team
Fnatic.Eyyou;TNC Pro Team;19;11;2,59;2,47;6,57;14,57;69,8;1,93;279;313;4;0;SEA;7;1;30;Fnatic
Fnatic.DeMoN;TNC Pro Team;19;11;2,45;2,6;7,03;14,67;41,83;1,33;255;281;5;0;SEA;7;1;30;Fnatic
Newbee.uuu9;TongFu|;1;8;2,91;4,44;3,56;5,89;175,78;8,78;447;431;1;1;CN;0;1;9;Newbee
TongFu.Lin;TongFu|;1;8;2,31;3,33;4,67;7,44;161,44;8,56;425;437;2;1;CN;0;1;9;Newbee.Young
Newbee.Faith;TongFu|;1;8;1,94;2;5,56;8,78;78,22;2,89;282;311;3;1;CN;0;1;9;Newbee
LGD.FY.lpc;TongFu|;1;8;1,58;1,78;6,33;8,22;45,33;2,33;237;239;4;1;CN;0;1;9;LGD.Forever Young
kabu;TongFu|;1;8;1,54;1,78;6;7,44;28,33;0,67;213;219;5;1;CN;0;1;9;None
Vega.fn;Vega Squadron;4;5;5,94;6;2;5,89;339,44;13,56;685;576;1;1;EU;0;0;9;Vega Squadron
VP.No[o]ne-?;Vega Squadron;4;5;4,35;5,11;2,89;7,44;239,89;16,67;528;490;2;1;EU;0;1;9;Virtus.pro
Vega.Mag;Vega Squadron;4;5;2,53;2,56;4;7,56;145,22;1;373;398;3;1;EU;0;0;9;Vega Squadron
VP.Solo;Vega Squadron;4;5;2,02;1,67;5,56;9,56;43,89;2,22;262;246;4;1;EU;0;1;9;Virtus.pro
Vega.CeMaTheSlayeR;Vega Squadron;4;5;2,21;1,33;4,22;8;43,22;2,33;247;243;5;1;EU;0;0;9;Vega Squadron
VG.CTY;Vici Gaming;9;8;4,07;7,82;4,18;9,18;369,71;14,47;579;544;1;0;CN;0;1;17;None
EHOME.Sylar;Vici Gaming;9;8;5,2;6,59;2,94;8,71;331,47;11,35;569;523;2;0;CN;0;1;17;EHOME
VG.rOtk;Vici Gaming;9;8;2,75;1,76;5,18;12,47;148,88;2,76;334;363;3;0;CN;0;1;17;Vici Gaming J
VG.hym;Vici Gaming;9;8;2,45;3,29;6;11,41;48,41;1,47;254;288;4;0;CN;0;1;17;Vici Gaming J
VG.BurNIng;Vici Gaming;9;8;3,21;2,53;4,41;11,65;49,12;2,76;252;259;5;0;CN;0;1;17;Invictus Gaming
VG.R.END;Vici_Gaming Reborn;18;19;5,16;7,08;3,14;9,08;278,81;10,81;533;478;1;1;CN;13;1;37;Vici Gaming
VG.R.NoNo;Vici_Gaming Reborn;4;11;2,75;5,8;4,73;7,2;239,87;10,4;496;487;2;1;CN;13;1;15;Vici Gaming
VG.R.mikasa;Vici_Gaming Reborn;18;19;3,12;4,95;5,05;10,84;210,51;7,3;437;451;3;1;CN;13;1;37;None
VG.??.Fy;Vici_Gaming Reborn;18;19;3,21;2,62;4,95;13,24;77,24;2,49;293;312;4;1;CN;13;1;37;Vici Gaming
VG.R.ddc;Vici_Gaming Reborn;18;19;2,93;1,97;4,51;11,27;39,27;1,76;238;266;5;1;CN;13;1;37;Vici Gaming
VP.G;Virtus.pro;4;5;5,13;8,22;3,56;10;349,78;15;625;511;1;1;CN;0;1;9;F.R.I.E.N.D.S.
VP.ALOHADANCE;Virtus.pro;4;5;4,13;7,89;4,22;9,56;329,89;15,44;534;461;2;1;EU;0;1;9;F.R.I.E.N.D.S.
yoky;Virtus.pro;4;5;5,19;3,89;3,56;14,56;180,78;2,78;390;407;3;1;EU;0;1;9;F.R.I.E.N.D.S.
Vega.Fng;Virtus.pro;4;5;3,21;2,44;5,78;16,11;48,56;1,67;265;273;4;1;EU;0;1;9;Vega Squadron
Nofear;Virtus.pro;4;5;2,19;2,67;7,11;12,89;35,33;0,89;237;281;5;1;EU;0;1;9;F.R.I.E.N.D.S.
Honki De Koi;Void Boys;3;6;3,44;5,78;3;4,56;224,33;12,44;555;535;1;0;EU;0;1;9;None
VB.PatSoul;Void Boys;3;6;5,94;4,33;1,78;6,22;247,11;16,56;547;543;2;0;AM;0;0;9;Void Boys
PoF.Sneyking;Void Boys;3;6;2,95;2,33;4,11;9,78;142,22;5,44;385;378;3;0;AM;0;1;9;EverNovaS
VB.OmegaPwner;Void Boys;3;6;2,64;1,89;3,67;7,78;51,56;3,56;248;275;4;0;AM;0;1;9;None
WFOE;Void Boys;3;6;1,98;1,44;5,22;8,89;27,89;0,89;243;230;5;0;AM;0;1;9;None
ALGoDonChin;Vultur Gaming;0;6;0,71;1,33;4,67;2;145,67;5;424;403;1;1;AM;0;0;6;Vultur Gaming
LDS;Vultur Gaming;0;6;1,13;3;5;2,67;99,67;3;341;346;2;1;AM;0;0;6;Vultur Gaming
FACA;Vultur Gaming;0;6;0,44;0,83;7,5;2,5;79,33;1,33;261;241;3;1;AM;0;0;6;Vultur Gaming
sayonara;Vultur Gaming;0;6;0,79;1,17;6,5;4;31,17;0,5;198;190;4;1;AM;0;0;6;Vultur Gaming
