Player;Team;Wins;Losses;KDA;Kill;Death;Assists;LH;DN;GPM;XPM;Position;Inv_Status;Region;Frankfurt_Result;Changed_Teams
MiLAN;Noo Logic Gaming;3;5;2.05;2.88;5.38;8.13;32.25;2.75;253;247;5;0;EU;0;1
ZSMJ;Team FanTuan;3;5;3.61;3.63;4.5;12.63;92.38;5.38;291;326;4;1;CN;0;1
Abrax-as;Team FanTuan;3;5;2.84;7.5;5.63;8.5;319.63;19.38;483;487;2;1;CN;0;1
Yuno;Team FanTuan;3;5;2.76;8.88;6.13;8;300.25;15.25;506;494;1;1;CN;0;1
iG.V.InJuly;Team FanTuan;3;5;2.24;2.88;6.13;10.88;122.75;2;315;343;3;1;CN;0;1
ddr;Team FanTuan;3;5;1.42;1.25;7.13;8.88;52.13;1.5;217;225;5;1;CN;0;1
CDEC.Y.Ame;CDEC.Youth;3;5;3.5;5.5;3.5;6.75;295.5;19.13;527;529;1;1;CN;0;1
CDEC.Y.Inflame;CDEC.Youth;3;5;2.63;5.5;5;7.63;253.75;21.75;473;492;2;1;CN;0;1
.....;CDEC.Youth;3;5;2.16;2.25;5.38;9.38;33.25;2.13;224;219;3;1;CN;0;1
CDEC.A.JUNE;CDEC.Youth;3;5;2.02;2.75;6.75;10.88;102;3.25;288;314;4;1;CN;0;1
CDEC.Y.Darkrai;CDEC.Youth;3;5;1.92;3.75;6;7.75;46.13;1.25;247;234;5;1;CN;0;1
PoF.wayto;compLexity Gaming;3;5;3.3;2;2.5;6.25;66.13;1.75;259;259;5;1;AM;0;1
Zyzzy;compLexity Gaming;3;5;2.38;5.63;4.88;6;290.63;13.25;521;521;1;1;AM;0;0
coL.swindlezz;compLexity Gaming;3;5;2.22;3.63;4.63;6.63;297.88;12.25;490;534;2;1;AM;0;0
poop;compLexity Gaming;3;5;1.86;2.25;5.38;7.75;134.5;2.63;346;344;3;1;AM;0;1
coL.Zfreek;compLexity Gaming;3;5;1.63;2;6.5;8.63;68.25;4.5;282;287;4;1;AM;0;0
Mason;High Council of Wizar...;3;5;3.29;5.13;3;4.75;286.5;12.38;498;502;1;0;AM;0;1
JK;High Council of Wizar...;3;5;2.54;5.63;4.63;6.13;320.5;7.5;582;499;2;0;AM;0;1
VEG.Fogged;High Council of Wizar...;3;5;2.2;1.38;3.75;6.88;39;2.75;210;208;3;0;AM;0;1
FDL.DeMoN;High Council of Wizar...;3;5;2;1.63;5.13;8.63;137.13;2;305;308;4;0;AM;0;1
bringo;High Council of Wizar...;3;5;1.95;2.38;4.75;6.88;65.25;1.88;264;280;5;0;AM;0;1
Raven;TNC Pro Team;3;5;3.17;6.25;4.5;8;294.5;13.25;504;491;1;1;SEA;0;1
Teehee;TNC Pro Team;3;5;2.69;11.13;6;5;281.38;18.38;556;551;2;1;SEA;0;1
Sam H;TNC Pro Team;3;5;2.66;3.13;5.5;11.5;190.75;3;373;428;3;1;SEA;0;0
Eyyou;TNC Pro Team;3;5;1.92;2.63;7.38;11.5;93.25;2.13;305;342;4;1;SEA;0;0
Tempest;TNC Pro Team;3;5;1.67;1.88;5.75;7.75;56.13;3.63;247;248;5;1;SEA;0;0
sick boy;Spac_ Creators;2;6;4.32;5.88;4.25;12.5;135.5;4.25;402;465;1;0;SEA;0;1
Godot;Spac_ Creators;2;6;2.98;4;5.13;11.25;107.63;2.63;323;366;2;0;SEA;0;1
xMusiCa;Spac_ Creators;2;6;2.96;7.38;5.88;10;249.63;13.25;495;521;3;0;SEA;0;1
Velo;Spac_ Creators;2;6;2.74;8.88;5.88;7.25;252.75;6.88;499;510;4;0;SEA;0;1
05;Spac_ Creators;2;6;2.42;2.38;5.38;10.63;37.38;2.63;232;250;5;0;SEA;0;1
FTD.A.Xtt;FTD club a;2;6;3.97;3.25;4;12.63;60.88;2;266;289;1;1;CN;0;1
????;FTD club a;2;6;3.53;5.88;3.75;7.38;305.25;15.38;479;509;2;1;CN;0;1
Yin;FTD club a;2;6;2.66;6.75;5.5;7.88;259.38;19.38;465;487;3;1;CN;0;1
Fusheng;FTD club a;2;6;2.47;4.75;5.88;9.75;100.13;2.25;305;342;4;1;CN;0;1
???;FTD club a;2;6;1.88;2.38;5.38;7.75;57.38;1.5;230;247;5;1;CN;0;1
uuu9;TongFu|;2;6;3.35;4.75;4.25;9.5;259.13;10.63;463;428;1;1;CN;0;0
xinq;TongFu|;2;6;3.05;7.88;4.88;7;273.5;17.13;484;494;2;1;CN;0;1
?????;TongFu|;2;6;2.67;2.88;4.88;10.13;116;3;316;322;3;1;CN;0;1
TongFu.Faith;TongFu|;2;6;2.12;1.25;5.13;9.63;48;1.38;206;216;4;1;CN;0;1
lpc;TongFu|;2;6;1.72;3.25;6.63;8.13;54.25;1;231;244;5;1;CN;0;0
Na`Vi.Dendi;Natus Vincere;2;6;2.79;6.13;4.88;7.5;180.38;14.63;442;474;1;1;EU;0;0
TSpirit.Funn1k;Natus Vincere;2;6;2.57;5.13;5.5;9;146.13;7.13;394;406;2;1;EU;0;0
XBOCT;Natus Vincere;2;6;2.33;5.38;5.75;8;238;9.38;491;514;3;1;EU;0;0
Na`Vi.!!! SoNNeikO !!!;Natus Vincere;2;6;1.87;2.63;5.88;8.38;58.25;4.88;270;283;4;1;EU;0;1
PSM;Natus Vincere;2;6;1.65;2.38;6.13;7.75;42.63;4.25;258;270;5;1;EU;0;1
TSpirit.Iceberg;CIS Rejects;2;6;2.02;5.88;7.13;8.5;166;21;433;462;1;1;EU;0;1
TSpirit.ALWAYSWANAMFLY;CIS Rejects;2;6;1.54;3;7.38;8.38;98.88;5.63;327;310;2;1;EU;0;1
TROGY;CIS Rejects;1;3;2.95;7.25;4.75;6.75;174.75;15.75;431;459;3;1;EU;0;1
