"Player","Team","Wins","Losses","KDA","Kill","Death","Assists","LH","DN","GPM","XPM","Position","Inv_Status","Region","Tournament_Result","Changed_Teams","Total_Games"
"Fnatic.343","Fnatic",7,8,2.69,2.8,5.2,11.2,49.33,1.6,260,263,5,2,"SEA",5,1,15
"Danse Macabre","Friendship, Dedicatio...",6,7,3.84,6.23,3.77,8.23,266.85,7.85,546,534,1,0,"AM",0,1,13
"CC&C","Friendship, Dedicatio...",6,7,2.25,5.38,5.23,6.38,218,10.62,477,450,2,0,"AM",0,1,13
"poop","Friendship, Dedicatio...",6,7,3.21,3.15,5.23,13.62,190.62,2.23,435,410,3,0,"AM",0,1,13
"Friendship","Friendship, Dedicatio...",6,7,2.84,4.85,5.31,10.23,89.62,0.54,353,345,4,0,"AM",0,1,13
"STAN KING","Friendship, Dedicatio...",6,7,2,1.31,5.77,10.23,25.38,1.23,233,240,5,0,"AM",0,1,13
"sss","FTD Club b",0,8,2.71,6.13,5.13,7.75,377.5,10.75,587,473,1,1,"CN",0,1,8
"DXM","FTD Club b",0,8,2.77,5.38,5.38,9.5,192.63,14,378,384,2,1,"CN",0,1,8
"chishi,","FTD Club b",0,8,3.14,3.5,4.5,10.63,157.13,4.5,374,375,3,1,"CN",0,1,8
"???","FTD Club b",0,8,2.36,3.75,6.63,11.88,52.88,1.75,253,265,4,1,"CN",0,1,8
"??","FTD Club b",0,8,1.6,1.63,7.75,10.75,49,1.88,201,240,5,1,"CN",0,1,8
"Yuno","iG.Vitality",6,7,3.82,7.08,4.23,9.08,386.38,11.69,571,543,1,1,"CN",0,1,13
"Arimura Kasumi","iG.Vitality",6,7,3.58,8.54,4.92,9.08,350.85,8.15,563,491,2,1,"CN",0,1,13
"iG.V.InJuly","iG.Vitality",6,7,3.7,1.69,4.08,13.38,212.08,1.54,374,376,3,1,"CN",0,1,13
"iG.V.super","iG.Vitality",6,7,2.18,1.92,6.08,11.31,97.23,2.15,275,274,4,1,"CN",0,1,13
"@dogf1ghts","iG.Vitality",6,7,2.16,1.85,6.08,11.31,52.15,1.31,244,242,5,1,"CN",0,1,13
"unknown.Kotaro.sr4ever","Infamous -_^",3,5,2.85,7.13,4.25,5,267.75,12,568,544,1,1,"AM",0,1,8
"unknown. ?Atún??","Infamous -_^",3,5,2.97,6.63,4.38,6.38,227.75,9.88,540,460,2,1,"AM",0,1,8
"Infamous.Greedy.MØ","Infamous -_^",3,5,2.72,2.63,4.5,9.63,139.63,0.88,376,363,3,1,"AM",0,1,8
"BanG","Infamous -_^",3,5,2.31,0.63,4.88,10.63,97.13,1.13,309,283,4,1,"AM",0,1,8
"Infamous.Accelgd","Infamous -_^",3,5,1.69,1.5,5.63,8,76.25,4.38,289,306,5,1,"AM",0,1,8
"iG.Ferrari_430","Invictus Gaming",3,5,3,3.25,3.63,7.63,359.5,7.75,666,525,1,1,"CN",0,0,8
"iG.qd","Invictus Gaming",3,5,4.75,7.13,3,7.13,252.25,16,489,493,2,1,"CN",0,1,8
"iG.Xxs","Invictus Gaming",3,5,2.56,2.88,4.5,8.63,136.63,2.25,358,369,3,1,"CN",0,1,8
"iG.Rong","Invictus Gaming",3,5,1.7,2.38,5.88,7.63,62.5,1.63,250,250,4,1,"CN",0,1,8
"iG.Boboka","Invictus Gaming",3,5,2.09,2.5,5.75,9.5,30.38,0.63,229,291,5,1,"CN",0,1,8
"KP.SingSing","Kaipi",4,4,5.35,4.38,2.5,9,250.63,11,548,503,1,0,"CN",0,1,8
"KP.bOne7","Kaipi",4,4,4.44,6.13,3.13,7.75,220,9.13,482,456,2,0,"EU",0,1,8
"KP.@SexyBamboe","Kaipi",4,4,2.68,3.13,5.13,10.63,141.13,7.13,395,397,3,0,"EU",0,1,8
"KP.ComeWithMe","Kaipi",4,4,2.64,2.88,5.5,11.63,99.63,2.75,328,318,4,0,"EU",0,1,8
"KP.Masakary","Kaipi",4,4,2.31,3.25,5.25,8.88,38.38,3.63,266,284,5,0,"EU",0,1,8
"Zyzzy","Kingdom DotA~",2,7,2.39,5.33,4,4.22,265.44,10,503,473,1,0,"AM",0,1,9
"Can't Trust No Fukin Body","Kingdom DotA~",2,7,2.31,4.11,4.33,5.89,201.56,14.78,425,400,2,0,"AM",0,1,9
"LvT.Jenkins","Kingdom DotA~",2,7,1.43,2.11,5.11,5.22,134.33,4.89,329,329,3,0,"AM",0,1,9
"Newsham","Kingdom DotA~",2,7,1.22,1.22,5.44,5.44,50.89,1.56,227,219,4,0,"AM",0,1,9
